,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
0,"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55min,Comedy; Crime; Drama; ,1 December 2017 (USA),8.2,404402,1169,https://www.imdb.com/title/tt5027774/reviews/_ajax?ref_=undefined&paginationKey=
1,Black Swan,2010,R,1h 48min,Drama; Thriller; ,17 December 2010 (USA),8.0,682523,1273,https://www.imdb.com/title/tt0947798/reviews/_ajax?ref_=undefined&paginationKey=
2,Silver Linings Playbook,2012,R,2h 2min,Comedy; Drama; Romance; ,25 December 2012 (USA),7.7,647995,835,https://www.imdb.com/title/tt1045658/reviews/_ajax?ref_=undefined&paginationKey=
3,Million Dollar Baby,2004,PG-13,2h 12min,Drama; Sport; ,28 January 2005 (USA),8.1,618903,1219,https://www.imdb.com/title/tt0405159/reviews/_ajax?ref_=undefined&paginationKey=
4,The Queen,2006,PG-13,1h 43min,Biography; Drama; History; ,17 November 2006 (USA),7.3,101904,456,https://www.imdb.com/title/tt0436697/reviews/_ajax?ref_=undefined&paginationKey=
5,The Reader,2008,R,2h 4min,Romance; ,30 January 2009 (USA),7.6,226284,431,https://www.imdb.com/title/tt0976051/reviews/_ajax?ref_=undefined&paginationKey=
6,La La Land,2016,PG-13,2h 8min,Comedy; Drama; Music; ,25 December 2016 (USA),8.0,482858,1772,https://www.imdb.com/title/tt3783958/reviews/_ajax?ref_=undefined&paginationKey=
7,Walk the Line,2005,PG-13,2h 16min,Biography; Drama; Music; ,18 November 2005 (USA),7.8,227982,897,https://www.imdb.com/title/tt0358273/reviews/_ajax?ref_=undefined&paginationKey=
8,La Vie En Rose,2007,PG-13,2h 20min,Biography; Drama; Music; ,20 July 2007 (USA),7.6,80970,247,https://www.imdb.com/title/tt0450188/reviews/_ajax?ref_=undefined&paginationKey=
9,The Blind Side,2009,PG-13,2h 9min,Biography; Drama; Sport; ,20 November 2009 (USA),7.6,283759,507,https://www.imdb.com/title/tt0878804/reviews/_ajax?ref_=undefined&paginationKey=
10,Room,2015,R,1h 58min,Drama; Thriller; ,22 January 2016 (USA),8.1,352682,662,https://www.imdb.com/title/tt3170832/reviews/_ajax?ref_=undefined&paginationKey=
11,Erin Brockovich,2000,R,2h 11min,Biography; Drama; ,17 March 2000 (USA),7.3,169430,525,https://www.imdb.com/title/tt0195685/reviews/_ajax?ref_=undefined&paginationKey=
12,The Favourite,2018,R,1h 59min,Biography; Comedy; Drama; ,21 December 2018 (USA),7.5,160787,1196,https://www.imdb.com/title/tt5083738/reviews/_ajax?ref_=undefined&paginationKey=
13,Monster,2003,R,1h 49min,Biography; Crime; Drama; ,30 January 2004 (USA),7.3,131859,568,https://www.imdb.com/title/tt0340855/reviews/_ajax?ref_=undefined&paginationKey=
